method,m,pi0,effect_size,alpha,rep,FDR,Power
BH,16,0.75,0.5,0.05,141,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,141,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,141,0.0,0.0
BH,16,0.75,0.5,0.05,142,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,142,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,142,0.0,0.0
BH,16,0.75,0.5,0.05,143,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,143,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,143,0.0,0.0
BH,16,0.75,0.5,0.05,144,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,144,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,144,1.0,0.0
BH,16,0.75,0.5,0.05,145,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,145,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,145,0.5,0.25
BH,16,0.75,0.5,0.05,146,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,146,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,146,0.0,0.25
BH,16,0.75,0.5,0.05,147,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,147,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,147,1.0,0.0
BH,16,0.75,0.5,0.05,148,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,148,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,148,0.0,0.0
BH,16,0.75,0.5,0.05,149,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,149,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,149,0.0,0.0
BH,16,0.75,0.5,0.05,150,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,150,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,150,0.0,0.0
BH,16,0.75,0.5,0.05,151,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,151,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,151,0.0,0.25
BH,16,0.75,0.5,0.05,152,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,152,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,152,1.0,0.0
BH,16,0.75,0.5,0.05,153,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,153,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,153,0.0,0.25
BH,16,0.75,0.5,0.05,154,0.0,0.0
Bonferroni,16,0.75,0.5,0.05,154,0.0,0.0
Uncorrected,16,0.75,0.5,0.05,154,0.3333333333333333,0.5
